"hash","startTime","endTime","numAssists"
21,15,31,2
21,31,49,1
21,49,55,3
21,55,62,1
711,42,133,2
721,9,86,2
720,58,103,3
731,52,102,2
741,16,61,2
741,61,91,2
740,84,138,1
760,9,45,2
761,0,0,2
760,45,111,2
771,10,44,1
771,44,78,1
770,72,129,2
771,78,128,2
781,95,143,2
801,32,60,1
801,60,87,1
820,9,151,2
851,49,82,1
851,82,122,1
860,43,104,2
861,74,143,1
870,52,97,1
870,97,146,2
871,95,142,1
901,8,72,1
900,77,117,2
901,72,131,2
911,35,102,2
920,30,72,3
921,79,142,3
931,9,79,2
931,79,110,2
951,55,84,1
950,52,96,1
950,10,64,"false"
950,64,111,1
951,65,111,1
950,111,154,1
951,111,154,1
